"Date","Price","Open","High","Low","Change %"
"Jan 15, 2019","0.01490","0.01490","0.01490","0.01490","0.00%"
"Jan 14, 2019","0.01490","0.01490","0.01500","0.01490","-0.33%"
"Jan 13, 2019","0.01495","0.01495","0.01495","0.01495","0.00%"
"Jan 11, 2019","0.01495","0.01505","0.01505","0.01495","0.00%"
"Jan 10, 2019","0.01495","0.01505","0.01505","0.01485","-0.33%"
"Jan 09, 2019","0.01500","0.01490","0.01500","0.01490","0.33%"
"Jan 08, 2019","0.01495","0.01505","0.01505","0.01485","-0.33%"
"Jan 07, 2019","0.01500","0.01470","0.01500","0.01470","1.61%"
"Jan 06, 2019","0.01476","0.01476","0.01476","0.01476","-0.25%"
"Jan 04, 2019","0.01480","0.01450","0.01480","0.01450","1.72%"
"Jan 03, 2019","0.01455","0.01455","0.01465","0.01445","0.34%"
"Jan 02, 2019","0.01450","0.01440","0.01460","0.01430","1.05%"
"Jan 01, 2019","0.01435","0.01435","0.01435","0.01435","0.00%"
"Dec 31, 2018","0.01435","0.01445","0.01445","0.01435","0.21%"
"Dec 30, 2018","0.01432","0.01432","0.01432","0.01432","-0.55%"
"Dec 28, 2018","0.01440","0.01440","0.01440","0.01430","0.00%"
"Dec 27, 2018","0.01440","0.01450","0.01460","0.01430","-1.03%"
"Dec 26, 2018","0.01455","0.01455","0.01465","0.01445","-0.34%"
"Dec 25, 2018","0.01460","0.01460","0.01460","0.01450","0.00%"
"Dec 24, 2018","0.01460","0.01450","0.01470","0.01450","0.55%"
"Dec 23, 2018","0.01452","0.01452","0.01452","0.01452","0.14%"
"Dec 21, 2018","0.01450","0.01460","0.01470","0.01450","-0.68%"
"Dec 20, 2018","0.01460","0.01480","0.01490","0.01450","-1.35%"
"Dec 19, 2018","0.01480","0.01480","0.01490","0.01470","0.00%"
"Dec 18, 2018","0.01480","0.01500","0.01500","0.01480","-1.33%"
"Dec 17, 2018","0.01500","0.01500","0.01510","0.01500","0.12%"
"Dec 16, 2018","0.01498","0.01498","0.01498","0.01498","0.22%"
"Dec 14, 2018","0.01495","0.01515","0.01515","0.01495","-0.99%"
"Dec 13, 2018","0.01510","0.01500","0.01510","0.01500","0.33%"
"Dec 12, 2018","0.01505","0.01515","0.01515","0.01505","-0.33%"
"Dec 11, 2018","0.01510","0.01500","0.01510","0.01500","0.67%"
"Dec 10, 2018","0.01500","0.01510","0.01510","0.01500","-0.40%"
"Dec 09, 2018","0.01506","0.01506","0.01506","0.01506","0.07%"
"Dec 07, 2018","0.01505","0.01495","0.01525","0.01495","0.67%"
"Dec 06, 2018","0.01495","0.01505","0.01505","0.01495","-0.33%"
"Dec 05, 2018","0.01500","0.01490","0.01500","0.01490","0.33%"
"Dec 04, 2018","0.01495","0.01505","0.01515","0.01495","-0.33%"
"Dec 03, 2018","0.01500","0.01490","0.01510","0.01490","0.43%"
"Dec 02, 2018","0.01494","0.01494","0.01494","0.01494","0.24%"
"Nov 30, 2018","0.01490","0.01510","0.01510","0.01490","-1.32%"
"Nov 29, 2018","0.01510","0.01490","0.01520","0.01490","1.34%"
"Nov 28, 2018","0.01490","0.01490","0.01500","0.01480","0.00%"
"Nov 27, 2018","0.01490","0.01490","0.01500","0.01480","0.00%"
"Nov 26, 2018","0.01490","0.01510","0.01510","0.01480","-1.37%"
"Nov 25, 2018","0.01511","0.01511","0.01511","0.01511","0.05%"
"Nov 23, 2018","0.01510","0.01520","0.01530","0.01500","-0.66%"
"Nov 22, 2018","0.01520","0.01520","0.01530","0.01520","0.00%"
"Nov 21, 2018","0.01520","0.01510","0.01530","0.01510","0.66%"
"Nov 20, 2018","0.01510","0.01520","0.01530","0.01510","-0.66%"
"Nov 19, 2018","0.01520","0.01510","0.01530","0.01510","0.29%"
"Nov 18, 2018","0.01516","0.01516","0.01516","0.01516","0.04%"
"Nov 16, 2018","0.01515","0.01525","0.01525","0.01515","-0.33%"
"Nov 15, 2018","0.01520","0.01490","0.01520","0.01490","2.01%"
"Nov 14, 2018","0.01490","0.01470","0.01490","0.01460","1.36%"
"Nov 13, 2018","0.01470","0.01470","0.01480","0.01470","0.00%"
"Nov 12, 2018","0.01470","0.01470","0.01480","0.01470","0.12%"
"Nov 11, 2018","0.01468","0.01468","0.01468","0.01468","-0.12%"
"Nov 09, 2018","0.01470","0.01490","0.01500","0.01470","-1.34%"
